job_title,company_Name,job_url,job_Location,job_Summery,job_posted_Date,job_Salary
,Rapidparts Inc.,https://www.indeed.com/cmp/Mitsubishi-Logisnext-Americas-Inc.,"Walker, MI 49544",Software development: Develop and provide on-going support for web-based and non-web-based applications to meet business requirements and web standards.,Posted8 days ago,Estimated $61.1K – $77.3K a year
Angular Developer,Deloitte,https://www.indeed.com/cmp/Deloitte,"Grand Rapids, MI 49503 (Heartside area)",As an experienced Angular Developer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of…,Posted21 days ago,Estimated $82.8K – $105K a year
Ruby on Rails Developer,Victory Text,"https://www.indeed.com/q-Victory-Text-l-Grand-Rapids,-MI-jobs.html","Grand Rapids, MI 49503 (Heartside area)",In this role you will be maintaining and further developing our existing Ruby on Rails websites.,EmployerActive 2 days ago,
,JR Automation,https://www.indeed.com/cmp/Jr-Automation,"Holland, MI 49424","Architect, design, develop and support software systems for manufacturing automation machines requiring: dynamic software solutions, custom software, algorithm…",Posted1 day ago,Estimated $78.5K – $99.3K a year
,Dematic,https://www.indeed.com/cmp/Dematic,"Grand Rapids, MI 49505 (Norteast Citizens Action area)+2 locations","Our commitment to product and solution R&D combined with manufacturing plants in the US, Europe, China and Australia ensures Dematic has the range and…",Posted6 days ago,Estimated $91.6K – $116K a year
Full Stack Developer,Crowe,https://www.indeed.com/cmp/Crowe,"Grand Rapids, MI 49503 (Heartside area)","As a Full Stack Developer, you will play a key role for both our project teams and Engineering team.",Posted21 days ago,Estimated $98.8K – $125K a year
Junior Software Developer,Revature,https://www.indeed.com/cmp/Revature-8,"Wyoming, MI+1 location",College degree (Associates or Bachelors).,Posted30+ days ago,Estimated $61.8K – $78.2K a year
Director of Web Development,Deksia,https://www.indeed.com/addlLoc/redirect?tk=1fr2rnji5n5a8800&jk=53159201b6b9b068&dest=%2Fjobs%3Fq%3Dprogrammer%26l%3Dgrand%2Brapids%2BMI%26grpKey%3D8gcGdG5mdGNsuA%252Fa%252FqceqhAaCglub3JtdGl0bGUaDXdlYiBkZXZlbG9wZXI%253D,"Grand Rapids, MI 49503 (Belknap Lookout area)+1 location","Deksia is a full-service agency, so developers will also work closely with other departments such as our copywriting, video + photo, and digital strategy.",EmployerActive 11 days ago,
Software Developer II,Springthrough,https://www.indeed.com/cmp/Springthrough,"Grand Rapids, MI 49546+1 location",Participate in the full life-cycle duties to bring clients projects to completion all the while exceeding their expectations.,EmployerActive 2 days ago,
LabVIEW Developer,Disher,https://www.indeed.com/cmp/Disher,"Holland, MI","In this role, you will design, organize, direct and complete technical work to develop new and existing product validation and verification equipment to support…",Posted22 days ago,Estimated $91.9K – $116K a year
